queen presence,apparent hive temp,apparent temp diff,CCD
1,42.27,9.290000000000006,0
1,42.73,6.479999999999997,0
1,40.05,2.759999999999998,0
1,37.6,1.4600000000000009,0
1,36.98,0.7299999999999969,0
1,35.62,-0.25,0
1,33.81,-1.1799999999999997,0
1,31.69,0.9299999999999997,0
1,28.33,1.4799999999999969,0
1,26.69,3.370000000000001,1
1,24.34,2.7300000000000004,0
1,23.25,2.7399999999999984,1
1,22.82,3.370000000000001,0
1,22.59,4.030000000000001,0
1,21.88,3.9499999999999993,0
1,21.38,4.25,0
1,21.14,4.420000000000002,0
1,20.56,4.459999999999997,1
1,20.04,4.51,0
1,21.04,4.129999999999999,0
1,26.16,5.239999999999998,0
1,31.38,9.009999999999998,1
1,35.81,11.100000000000001,0
1,39.42,11.360000000000003,0
1,41.89,11.879999999999999,0
1,41.87,11.759999999999998,0
1,39.49,6.660000000000004,0
0,37.74,3.6300000000000026,0
0,34.26,0.8200000000000003,1
0,33.21,1.1899999999999977,0
0,32.71,1.9499999999999993,1
0,28.86,0.6699999999999982,0
0,25.73,0.6799999999999997,1
0,22.98,0.8200000000000003,1
0,20.75,0.08999999999999986,1
0,19.78,0.3200000000000003,1
0,19.19,0.4800000000000004,0
0,18.72,0.8699999999999974,1
0,18.31,1.009999999999998,1
0,17.92,1.2300000000000004,1
0,17.36,1.3000000000000007,1
0,18.23,2.120000000000001,0
0,20.42,3.8000000000000007,1
0,23.09,5.260000000000002,0
0,27.52,7.530000000000001,1
0,44.92,22.42,1
0,52.07,27.16,1
0,54.49,26.82,0
0,55.55,25.4,1
0,50.58,19.439999999999998,1
0,45.12,14.569999999999997,1
0,37.86,5.259999999999998,1
0,35.43,2.200000000000003,0
0,34.36,0.7999999999999972,1
0,32.38,0.9000000000000021,0
0,30.23,0.879999999999999,0
0,26.7,1.0899999999999999,1
0,22.95,0.6600000000000001,1
0,20.47,-0.33000000000000185,1
0,19.08,-0.6700000000000017,1
0,18.19,-0.33999999999999986,0
0,17.8,0.23000000000000043,1
0,17.66,0.9600000000000009,1
0,17.72,1.0,1
0,19.96,3.080000000000002,1
0,20.94,3.710000000000001,1
0,21.11,3.8000000000000007,1
0,22.45,5.199999999999999,1
0,24.88,7.0,1
0,40.91,21.109999999999996,1
0,44.8,23.249999999999996,1
0,49.92,23.8,1
0,54.42,25.110000000000003,1
0,52.79,23.25,1
0,48.72,17.82,1
0,40.71,7.460000000000001,0
0,35.09,0.25,0
0,34.52,0.04000000000000625,1
0,32.56,-0.6099999999999994,1
0,31.96,1.1400000000000006,1
1,28.63,0.6899999999999977,0
1,25.89,1.0100000000000016,1
1,24.08,1.7099999999999973,0
1,22.79,1.9699999999999989,0
1,21.99,2.479999999999997,0
1,21.43,2.530000000000001,1
1,21.42,3.280000000000001,1
1,21.14,3.8500000000000014,0
1,20.82,4.030000000000001,1
1,20.64,4.07,1
1,20.0,4.720000000000001,0
1,22.02,6.6,0
1,30.16,12.64,0
1,39.07,19.42,0
1,41.8,18.799999999999997,1
1,43.78,17.880000000000003,0
1,46.65,18.799999999999997,0
1,46.75,16.66,0
1,43.85,12.05,0
1,38.22,5.600000000000001,0
1,34.39,2.020000000000003,0
1,32.9,0.6599999999999966,0
1,30.39,-0.3299999999999983,0
1,29.91,1.3000000000000007,0
1,26.24,0.04999999999999716,0
1,23.97,1.1799999999999997,1
1,21.27,0.5700000000000003,0
1,19.82,0.35999999999999943,0
1,19.04,0.629999999999999,1
1,18.33,0.9299999999999997,0
1,17.74,1.2799999999999976,0
1,17.69,2.0000000000000018,0
1,17.49,2.4999999999999982,0
1,17.66,3.370000000000001,1
1,17.09,3.369999999999999,0
1,17.29,3.799999999999999,1
1,23.22,7.4399999999999995,0
1,33.42,15.880000000000003,0
1,47.97,27.83,0
1,52.29,29.36,1
1,53.2,28.820000000000004,1
1,52.46,26.03,0
1,50.68,23.04,0
1,38.96,10.330000000000002,0
1,31.9,4.359999999999999,0
